,full_text,VADER_score,predicted_sentiment
255,Vaccine already out in ? Surprised.,0.2263,neutral
256,Insight into status,0.0,negative
257,": may be ready for rollout by Dec, says Serum Institute CEO",0.3612,neutral
258,"updates in India: Oxfords vaccine trials can be over by December, if SII doesnt go for emergency licence",0.2924,neutral
259,"government has asked all state-run and private medical establishments to send details of frontline and other staff who would be administered on a priority basis, an official said on Thursday.",0.0,negative
260,"or the Bacillus Calmette-Guerin is beneficial against COVID-19 among elderly people, scientists at the Indian Council of Medical Research ( ) concluded.",0.4404,neutral
261,Join us for our virtual conference on November th with speakers and hundreds of attendees -,0.296,neutral
262,Drugmaker confirmed that they will be able to supply this year once it is approved by the regulators. The drug giant reported that they could supply over million doses in by the end of .,0.4215,neutral
263,Covid-19 vaccine could be ready by December: Serum Institute's Adar Poonawalla | Indiablooms - First Portal on Digital News Management,0.3612,neutral
264,Covid-19 vaccine could be ready by December: Serum Institute's Adar Poonawalla | Indiablooms - First Portal on Digital News Management,0.3612,neutral
265,"Covishield, the candidate, may be ready by January , Serum Institute of India (SII) CEO informed.",0.3612,neutral
266,"updates: Pfizer, Moderna to roll out COVID-19 vaccine by December",0.0,negative
267,"India Reports New COVID-19 Cases in Past Hours, Tally Crosses -Lakh Mark, Death Toll Rises to ://",-0.5994,negative
268,Covid Vax: Infections Reported Among Sputnik V Trial Volunteers,0.0,negative
269,"[4-4] ... to the nd WEEK of NOVEMBER, ANNOUNCING successful Analysis Plans read by /14!!! Gen1 $AZN THIS could be HUGE single GOOD NEWS for !$IBB",0.9124,positive
270,"The Covid-19 vaccine '', being developed by , and manufactured by the (), could be ready as early as December.",0.3612,neutral
271,"I would like to assure the nation that, as and when a vaccine becomes available, everyone will be vaccinated: PM Modi on ://",0.5994,neutral
272,Some Good News This Morning Vaccine by Oxford-SII-AstraZeneca could be ready for emergency use soon,0.4215,neutral
273,"| I would like to assure the nation that, as and when a vaccine becomes available, everyone will be vaccinated: PM Modi on ://",0.5994,neutral
274,"vaccine: Covidshield may be ready for rollout by Dec, says Serum Institute CEO",0.3612,neutral
275,"Should everyone in India get a shot free of cost? As the government raises hopes of a free , it's important to know the costs involved, but also how the undertaking might impact India's economic recovery. writes.",0.6808,neutral
276,"COVID-19 Vaccine Update: Sanofi, GSK to Supply COVAX with Million Doses of Coronavirus Vaccine",0.0,negative
277,"Dr Fauci says it could be '2022' before things go back to normal because that's how long it will take to vaccinate everyone. , the Director of the CDC, was giving a talk over Zoom to The University of Melbourne in Australia.",0.34,neutral
278,"- ""Gene-based, or DNA and RNA , vaccines are faster and cheaper to produce in large quantities than conventional vaccines.""",0.0,negative
279,"Sanofi and GSK intend to make available million doses of their adjuvanted recombinant protein-based if approved by regulatory authorities and subject to contract, to the Facility",0.4215,neutral
280,Congratulations. We are proud of you hard work at All the best,0.8957,positive
281,Scientists warn Americans expecting too much from first COVID-19 vaccines via,-0.1027,negative
282,"""I never said the vaccine will come in January as many have reported,"" said.",0.0,negative
283,"European drugmakers Sanofi and GlaxoSmithKline will provide million doses of their to WHO's global immunization partnership , which seeks to ensure vaccines are distributed equitably across the world, the companies announced.",0.3818,neutral
284,hopes rise as jab prompts immune response among old as well as young adults,0.7269,positive
285,"It just doesn't add up. If only % of the population (like in the US) who are willing to get vaccinated, you have to have a very effective (&gt;85%) , if the immunity coverage is to be extensive enough to get out of this pandemic!",0.5697,neutral
286,My Day-20 push up challenge for days,0.0772,neutral
287,The Tories can always find money for Wars &amp; Bombs but not for for every person in Britain.,-0.3182,negative
288,Do not keep your mask on for too long...,0.0,negative
289,"Who's Line Leader?: begin to establish a framework for distributing the , via",0.0,negative
290,"The coming COVID-19 vaccines are being touted as the largest product launch in history. Transporting the vaccine will take precedence over commercial demand, further reducing capacity and increasing rates.",-0.1779,negative
291,"India's , world's largest vaccine maker has started production of at over million doses per month. Very informative interview. Will cost only a few rupees (few USD) for India. Africa, Latam to be supplied. Watch :",0.0,negative
292,"KAIMRC is hosting a global forum where most of the scientists behind such vaccines are presenting and discussing their emerging data, challenges, and prospects. us now",0.3612,neutral
293,"$BNTX $PFE lets get that prelim Analysis Plans &amp; , /62 DATA OUT this week to stop the market bleeding and restore World Confidence beating the ! $IBB",0.1511,neutral
294,"It's a shame children are losing the social interaction of school, friendsuntil we have a &amp;real treatment, we have to stay at home with limited interactionIf you are single, it's years before we can date againWTF years to vaccine",-0.765,negative
295,Don't know real or fake.. but it's a meeting letter asking health professionals to get vaccinated for Covid19 in on -10-2020!!They've vaccine!!,0.0,negative
296,Don't know real or fake.. but it's a meeting letter asking health professionals to get vaccinated for Covid19 in !!They've vaccine!!,0.0,negative
297,"shippers may have to go to back of line when hits the market. $FDX $UPS will be out front in distribution . . . COVID vaccine fallout: General air cargo, wait your turn via",0.0,negative
298,"Excellent review here.""...we explore the challenges in assessing the efficacy of candidate vaccines, discuss the caveats needed to interpret reported efficacy endpoints &amp; provide insight into answering the seemingly simple question, Does this work?",0.6124,neutral
299,"First generation of 'likely to be imperfect', says taskforce",0.0,negative
300,COVID-19 Vaccine Update: Infections Reported Among Sputnik V Trial Volunteers ://,0.0,negative
301,Drugmakers &amp; on Wednesday said they plan to make available million doses of their to the -led COVAX international initiative which aims to ensure equitable global access to vaccines against the novel .,0.5994,neutral
302,BJP Manifesto For Madhya Pradesh Bypolls Promises Free,0.7096,positive
303,Covid vaccine: Infections reported among Sputnik V trial volunteers,0.0,negative
304,A may be publicly available as soon as January Here's what you need to know.This blog marks my Twitter debut. It's the second in a series targeted to empower non-pharma people. My career spans decades in pharma helping commercialize drugs for market.,0.296,neutral
305,"When Will COVID-19 Vaccine be Available? Possibly by Christmas, Says UK Govt's Taskforce Chief Kate Bingham | Read full report",0.0,negative
306,"The vaccine is only in phase-1 trials at present, but should it be authorised for mass use, Maersk may be scoring themselves a major competitive advantage.",0.5499,neutral
307,"For COVID-19 Prevention "" Mask is the Vaccine, Social Distancing is the medicine and Hand Hygiene is the Immunity"" - M.A.Aleem Neurologist",0.4939,neutral
308,Pfizer has expanded its trial to include teens. Some say it's risky. Others argue it's necessary.Some experts say drugmakers and federal regulators should wait until the vaccines have been proven safe and effective ...,0.4215,neutral
309,Should WE THE PEOPLE of India request the Election Commission to hold Fresh General Elections..to ensure that we get the promise of Free for All ?,0.8591,positive
310,"our recent webinar on the future of education during &amp; after ,find a preview of the discussion from our exemplary speakers. Don't forget to join us on th Nov as we discuss matters, in the context of African Continent.",-0.0315,negative
311,The world eyes are on . You can be the world's hero with a working . ! Do it can finally pivot and reverse.,0.5983,neutral
312,"Exclusive, , CEO of of world's largest maker: to roll-out plans for upcoming (2021), after extraordinary investments helps end ://",0.4767,neutral
313,"For COVID-19 Prevention "" Mask is the Vaccine, Social Distancing is the medicine and Hand Hygiene is the Immunity"" - M.A.Aleem Neurologist",0.4939,neutral
314,"Such a brilliant &amp; honest talk on between and .Absolute scientific and human aspect of the process, combined so well in a short show.Gives Hope!Kudos, Guys.",0.8788,positive
315,Johnson &amp; Johnson pauses Covid-19 vaccine trial after 'unexplained illness',-0.4019,negative
316,"For COVID-19 Prevention "" Mask is the Vaccine, Social Distancing is the medicine and Hand Hygiene is the Immunity"" - M.A.Aleem Neurologist",0.4939,neutral
317,"For COVID-19 Prevention "" Mask is the Vaccine, Social Distancing is the medicine and Hand Hygiene is the Immunity"" - M.A.Aleem Neurologist",0.4939,neutral
318,"is seriously impacting pregnant women in the (). We will need a plan to protect pregnant women during this pandemic, said Dr. Ruth Karron at our event on developing a :",0.2263,neutral
319,"When Govt is not spending enough for , the Covid19Vaccine dur ki bath hai.So stop offering free vaccine, say something about tests",0.2732,neutral
320,"Once we have a , our challenge becomes getting it to seniors and those who are less mobile. Could the home be a focal point for eradicating the virus? Our CMO explores in today's STAT:",0.0772,neutral
321,TV9 Digital ShortsA round-up of the top updates from across the world this Wednesday evening. ://,0.2023,neutral
322,"""For a that could be administered to millions of individuals, including healthy people, FDA will only issue an EUA if a vaccine has demonstrated clear and compelling efficacy in a large well-designed phase clinical trial, much like would be required for a BLA.""",0.8271,positive
323,for underscoring shortcomings in approach and difficult in recruiting/retaining . Biggest issue is lack of digital engagement.,-0.2023,negative
324,"Reality bites for 's much-hyped , as concerns over efficacy and safety linger:",0.4215,neutral
325,"A big Q on everyone's minds is how a will be allocated, once available. Today, &amp; launched the Vaccine Allocation Planner - a tool for local govts to build actionable &amp; equitable plans. See it in action:",0.128,neutral
326,"trials to start for teens in this week. recommends inclusion of pediatric patients appropriately in trials, following protocol. Still and for the .",0.2263,neutral
327,Nothing gets me more excited than beautiful data visualization - also some great explanations on where we're at in the world in having a vaccine. at .,0.8991,positive
328,Is curable or are you stuck with it?No! There is no cure but its symptoms can be controlled.Find out more at Visit:,-0.3382,negative
329,States respond to accelerating rise in U.S. cases.,0.0,negative
330,"This sums up many of the interactions I have with Americans on pretty much any subject. Im not a Debbie Downer, Im just a grim realist!Trump: coming within weeksUK governments Vaccine Taskforce chair, Kate Bingham, writing in the Lancet:",-0.2003,negative
331,Who will be prioritised for coronavirus vaccine in india? Watch all the details here ://,0.0,negative
332,"When Will COVID-19 Vaccine Covishield, Developed by Oxford-AstraZeneca, Be Available? Adar Poonawalla Responds",0.0,negative
333,The main problem with a would be that the carry on with their protests only wearing hats....,-0.5574,negative
334,"Sanofi, GSK to provide to global alliance",0.0,negative
335,"And on Thurs Nov, &amp; will be hosting next the session in the hugely popular webinar series, under the theme: 'Preparing African Countries for the 'Don't miss it!",0.5898,neutral
336,"Union Commerce and Industry Minister Piyush Goyal calls upon the global community to ensure timely and equitable availability of vaccines and medicines for , in sufficient quantities and affordable prices.",0.3818,neutral
337,"COVID-19 Vaccine Latest Updates From Russia: WHO Registration Sought For Sputnik V, Vector Starts Production of EpiVacCorona",0.0,negative
338,. Awards Task Order to Support COVID-19 Vaccine Trials; George Krivo Quoted,0.6908,neutral
339,You had one job,0.0,negative
340,The UAE has again prove its enormous capability to deal with this pandemic! This is inline with the launch of Emirates SkyCargo which will be utilize to distribute COVID-19 vaccine.,0.0,negative
341,UK Vaccines Taskforce Chair says early COVID-19 vaccines may be imperfect: The Lancet,-0.3182,negative
342,Cyprus Ministry of Health announced on Tuesday new coronavirus cases,0.0,negative
343,Three Western states join California's plan to independently review any COVID-19 vaccine before public distribution,0.296,neutral
344,Says It Could Still Deliver A COVID-19 Vaccine In !,0.0,negative
345,. Urges All Indian States to Resort to National Approach for ://(: Swapnil Shinde/BCCL Pune),0.0,negative
346,"The first results from an early mid-stage study of the Sanofi-GSK vaccine are expected in early December , and the companies plan to file for regulatory approval in .",0.4767,neutral
347,How can some office building management deny your entry if you dont have or downloaded Aarogya Setu app while entering.Even DM office gurgaon agreed with this law.,-0.0772,negative
348,Which will release first? or ?,0.0,negative
349,"aims to deliver billion vaccine doses around the world by the end of , and more than nations have joined the plan.",0.0,negative
350,"Pharma Ready to Store, Distribute in Telangana, Andhra Pradesh Once Available (: Mandar Deshpande/BCCL Pune)",0.6908,neutral
351,"""The vaccine should be tested on politicians first, if they survive, *the vaccine is safe*. If they don't, then *the country is safe*.""",0.0,negative
352,"On one hand I am hapoy about this. On the other hand, ITS NOT A RACE! Id rather see a company take crucial time to ensure a vaccine is SAFE &amp; EFFECTIVE, than to rush&ampush a LESS safe/effectuve thru.",0.9498,positive
353,"Join us at nd World on and scheduled on November , .Present your across the globe in the",0.296,neutral
354,"There is no clarity on whether a , will be free of cost for everyone in &amp; it being so would depend on the outcome of clinical trials, said the head of the committee overseeing development as well as planning its distribution",0.7096,positive
355,See the latest update on the urgent race to develop a at .,0.2023,neutral
356,employees from and have already registered their names for vaccination expected by Jan.,0.0,negative
357,NDTV - Pfizer Says It Could Still Deliver A COVID-19 Vaccine In - [],0.0,negative
358,"COVID-19 Vaccine: Don't Know If We Will Ever Have a Vaccine, Says UK Taskforce Chief",0.0,negative
359,": Indian vaccine innovator in talks with countries, partners to expand it's footprint, which includes finished vaccine dose supplies, vaccine candidate for further trials, &amp; tech transfer for local manufacturing.My report in",0.3182,neutral
360,"says no data yet, could be week or more before it reports",-0.296,negative
361,for all.,0.0,negative
362,Come on Western states join California's plan to any before,0.296,neutral
363,Medicare and Medicaid to cover early Covid vaccine via,0.0,negative
364,"Governments are told to prioritise healthcare workers, the elderly or people with chronic diseases.",0.0,negative
365,But: Expert opinion: rollout unlikely before fall,0.0,negative
366,"So people of think aka has ""compassion&amp;intelligence"" get them out of the ..did anybody actually ASK HIM what he would actually DO accomplish that? Therapeutics &amp; r already in the works..All he'll do is shut down USA!",0.4753,neutral
367,The people who honk their horns&amp; applaud when he says did nothing for should be the LAST PEOPLE WHO GET THERAPEUTICS AND ! If Biden's elected he'll act like HE HAD THOSE DEVELOPED.,0.6996,neutral
368,Bill &amp; Melinda Gates comedy sketch summing up the whole sordid Covid-19 scam.,-0.296,negative
369,(2of2) &amp;the listening say did nothing about should b THE LAST ON THE LIST TO GET THE ! !,0.0,negative
370,"""Three Western states join California's plan to independently review any COVID-19 vaccine before public distribution""",0.296,neutral
371,". Seth Lederman, CEO of Tonix Pharmaceuticals $TNXP will be joining me on Nov at pm EST to discuss a TNX-1800 and other drugs in their pipeline!If there are any medical/science questions for him, please let me know!",0.4374,neutral
372,New post ( Governor Kate Brown: Western States Join Californias Scientific Safety of COVID-19 Vaccine) has been published on -,0.6124,neutral
373,updates the state on and a new pact with Western states about safety.,0.4215,neutral
374,"Doubts persist about the Russian vaccine... , ....",-0.296,negative
375,See the latest update on the urgent race to develop a at .,0.2023,neutral
376,Such a warm welcome from the ..looking forward to getting to know everyone and stuck in with the Covid vaccine world.,0.4404,neutral
377,. Alex Azar is rumored to be pushing for the ouster of Commissioner in retaliation for the health agencys issuing its own independent guidance for approving a . has denied the allegations.,-0.4404,negative
378,The wait is almost over!,0.0,negative
379,"Senator , what is ""scientifically safe?"" The Prep Act shields Covid19vaccine manufacturers from all liability for side effects/medical harms&ampeaths that the vaccines will cause. Without liability, there is no motivation for product safety.",0.1027,neutral
380,Novavax Delays US Trial Of Candidate To November,0.0,negative
381,is running on - that's ALL he/ have against . Virus is NOT only thing to think about! hopefully IS going go away in near future w/...who is best for r ECONOMY? KEEP US FROM COSTLY WARS? !,0.3352,neutral
382,"Up next at - ""2020 Year in Review: Regulatory and Policy Developments Impacting Pharmacy Benefits and the Pharmaceutical Supply Chain"" featuring 's Susan Berson, &amp; Tara Dwyer.",0.3818,neutral
383,States Asked To Adopt National Approach On COVID Vaccine: Official,0.1779,neutral
384,Vaccine experts warned the that releasing a without robust data could result in significant harm to Americans.,-0.7037,negative
385,"Spoke with MG Sharpsten, supply &amp; distribution Dir for Operation for an in-depth interview on vaccine cold chain logistics, security and administrative sites. Many concerns debunked in my column",0.34,neutral
386,"Vaccine in India: Prioritisation Has to Be Done on Criteria for Vaccination, Says Dr VK Paul ://",0.0,negative
387,"Vaccine Update: RDIF Seeks Vaccines Speedy Registration, Prequalification From",0.0,negative
388,States Asked To Adopt National Approach On : Official,0.1779,neutral
389,Cyprus Health Ministry announces new COVID-19 cases most from airport samples,0.0,negative
390,"Listen to me when I say, over my dead body will I or anyone in my family be taking a COVID-19 vaccine.",-0.6486,negative
391,is running on - that's ALL he/ have against . Virus is NOT only thing to think about! hopefully IS going go away in near future w/...who is best for r ECONOMY? KEEP US FROM COSTLY WARS? !,0.3352,neutral
392,. 's CEO has announced that their might be available as early as December for emergency use. ://,-0.3818,negative
393,CSafe is ready to support partners &amp; the industry with the highest performing thermal shipping solutions designed to protect vaccines at any temp range for transport and even small scale storage for smaller healthcare facilities.,0.8176,positive
394,The Top Crypto Cannabis Coins Today: What You Need to Know $ETH $FET $FIL $XRP $USDT $BCH $ADA $BSV $LTC $LINK $BNB $CRO $MSFT $NVDA $PYPL,0.2023,neutral
395,What does this short immunity mean for a vaccine?,0.0,negative
396,Karnataka Health Minister Meets Officials On,0.0,negative
397,Will we need the twice a year for immunity?,0.0,negative
398,"Spoke with MG Sharpersten, supply &amp; distribution Dir for Operation for an in-depth interview on vaccine cold chain logistics, security and administrative sites. Many concerns debunked in my column",0.34,neutral
399,$PFE says it is developing specific content and education specifically targeted to minority communities (assuming authorization),0.0,negative
400,"$PFE's Bourla: ""we don't have the events right now.""",0.0,negative
401,"COVID-19 Vaccine Update: Pfizer Not Ready to Share Data on Late-Stage Trial, Interim Efficacy Analysis Awaited | Read full report",-0.4763,negative
402,What can teach us about developing a safe and effective ? Check out our summary of our recent event with &amp; to find out:,0.7184,positive
403,": One of the frontrunners in the race for a vaccine against COVID-19 has been found to produce a strong immune response in all adult groups, Oxford University said.",0.6705,neutral
404,Epidemiology of covid via his presentation describes the basic epidemiological facts of covid along with the diagnosis.treatment and control of disease in the community. it also describe the vaccine .,0.0,negative
405,"""the recent development of ""vaccine nationalism"" puts our collective management of this crisis at risk."" by Mark Pearson",-0.7073,negative
406,"Covid: Antibodies 'fall rapidly after infection'.Levels of protective antibodies in people wane ""quite rapidly"" after coronavirus infection, say researchers.",0.0,negative
407,Coinbase Is Now Offering Instant Withdrawals: How It Works $ETH $FET $FIL $XRP $USDT $BCH $ADA $BSV $LTC $LINK $BNB $CRO $MSFT $NVDA $PYPL -,0.0,negative
408,"""I think everyone at my school would like to get back to normal. I really think a vaccine could prevent the spread of the infection:"" Kids getting Covid-19 vaccine in trial.",0.3818,neutral
409,Strong immune response among the elderly shown by vaccine candidate | Test Assurance Group,0.7845,positive
410,Agreed. Rushing a vaccine may not be worth the risk to the general public.,-0.1695,negative
411,"It would be clear whether a was safe and effective by early December, but that more widespread vaccination would not be likely until later in , infectious disease expert said on Sunday.",0.5859,neutral
412,Pfizer: Emergency-use vaccine possibly in Nov.,0.0,negative
413,$AZN viral vector might not be a long term solution as month booster shots might not be ineffective due to possible adenovirus immunity.$BNTX $Pfe $MRNA big test of time and the future,0.396,neutral
414,In-person to online: adapting to COVID-19s impact on education and workFeature: CHNUFDiscuss: $MSFT $GOOG $FB $SNOW $CHGG $EDU $GSX $TAL $GNUS $MSFT $NVDA,0.0,negative
415,"Have you registered yet for webinar? Don't be left out, it will be an insightful dialogue on Preparing Africa Countries for . Registered today at",0.0,negative
416,vs. about : how to face via,0.0,negative
417,$PFE earnings before bell: Possible st and nd readouts?! $BNTX! $azn $ibb $xbi,0.0,negative
418,vaccine seems to generate an immune response in all ages,0.296,neutral
419,Karnataka Health and Medical Education Minister Dr. K. Sudhakar informs that the state is making arrangements for the distribution of which is likely to come between January and April. File pic:,0.0,negative
420,A thought-provoking article on what will happen when the first COVID-19 vaccine is approved. What do you think about this approval preventing other ongoing COVID-19 trials from continuing?,0.745,positive
421,Karnataka Health and Medical Education Minister Dr. K. Sudhakar informs that the state is making arrangements for the distribution of which is likely to come between January and April.,0.0,negative
422,"-based Medihauxe Pharma Pvt Ltd on Tuesday announced that it is fully geared up to handle, store and distribute in both and as and when the vaccine is made available.",0.0,negative
423,being developed by University produces an immune response among the elderly as well as the young. British drugmaker said it also triggers lower adverse responses among the elderly. with details.,-0.1027,negative
424,WION News - All citizens in India to get free COVID-19 vaccine: Union Minister Sarangi - [],0.5106,neutral
425,updates: 's COVID-19 vaccine candidate prompts an immune response in both young and old people,0.296,neutral
426,launches cloud-based 'Airtel IQ'; warns against nationalism :,-0.1027,negative
427,Once there is a who will get it first?Indiana lays out its plan.,0.0,negative
428,Latest News Updates October ..Join Us in Telegram:- our Website:,0.0,negative
429,Here is a roundup on major developments globally:,0.0,negative
430,Listen to News with . ://,0.0,negative
431,"When and is talking about the in for all the . If I were Bihari, my answer to them is ""you are worse than the disease"".",-0.4767,negative
432,"Cadila, which also produces coronavirus treatments such as remdesivir, is among a number of Indian companies holding vaccine trials.",0.0772,neutral
433,"COVID-19 Vaccine Sputnik V Update: Russia's Vaccine Caused No Side Effects in % Patients, Says Developer",-0.296,negative
434,A glimmer of light? I'll take the glimmer. hopes rise as jab prompts among old as well as young adults,0.5994,neutral
435,approved by the nice birthday presents for right ??,0.7149,positive
436,Thanks for having us back on your show to discuss the work we've been doing at Generex to combat COVID19. We're in the final throws for testing of our and we hope to have all our readouts soon and know if it's safe.,0.743,positive
437,""" : For Whom The Bell Tolls?""",0.0,negative
438,"I am not sure i fully agree with this and I know many feel the same way but.... will aim to have % of its adult population within six months once a is approved and available, sta",-0.1252,negative
439,Israeli to be tested in humans.,0.0,negative
440,Democratic presidential nominee Joe Biden pledges free Covid-19 vaccines for all if elected,0.5106,neutral
441,UK : selected by CEPI to test vaccines globally,0.0,negative
442,"This year's MMS Interim Meeting Ethics Forum, Nov. at a.m., will explore the ethical considerations for the , from development to distribution. This session is complimentary for MMS members. Non-members will be charged a fee to attend.",0.6597,neutral
443,police report individuals and establishments for coronavirus measures violations,-0.5267,negative
444,Woo hoo!,0.5255,neutral
445,$PETV A low float Biotech thats ahead of the Curve; Focus on PetVivo (PETV)Discuss: $SELB $BLU $CASI $AXGT $GILD $REGN $JNJ $NLOK $RPD $MSFT $AAPL $AMZN $FB $CYBR $CSCO $CARB $QLYS $SYMC,-0.2732,negative
446,"Indian company along with becomes the th Institution to start phase III trials on a potential vaccine join a select group of countries such as USA, UK, Germany, China &amp; Russia",0.296,neutral
447,says its vaccine triggers immune response among adults,0.296,neutral
448,The COVID-19 vaccine being developed by the University of Oxford produces an immune response in both elderly and young people and adverse reactions are lower among the elderly -British drug maker AstraZeneca Plc.,-0.3612,negative
449,"Great news! has secured a second potential vaccine deal, this time with American pharmaceutical company that agreed to provide Doha with COVID-19 vaccinations by early .",0.8478,positive
450,"There are &gt;160 candidates being tested around the globe, but how can we be sure that these vaccines are developed safely &amp; distributed equitably? Read more in our summary of our event with &amp; :",0.8047,positive
451,I've registered to help the find a for Have you?,0.4019,neutral
452,EXCELLENT!! : AstraZeneca says its coronavirus vaccine triggers immune response among adults.,0.8029,positive
453,"Turning to disparities in the pandemic, looks to the facility as a basis for the equitable distribution of a , with India being central to ensuring vaccine distribution.",0.2732,neutral
454,"Even if the cases in Cyprus drop, the danger is still there, Scientific Team member Tsioutis says",-0.6705,negative
455,AstraZeneca says its coronavirus vaccine triggers immune response among adults,0.296,neutral
456,"'s produces an immune response in older people, raising hopes a vaccine will protect those at greatest risk",0.8658,positive
457,COVID-19 Pandemic Driving Tech Stocks to Soar; One small cap is worth a nd look $CHNUF Discuss: $TWTR $SNAP $FB $PINS$COE $UTI $LOPE $GOOG $SNOW $CHGG $EDU $GSX $TAL $GNUS $MSFT $NVDA $ZM,0.2263,neutral
458,Indian government estimates Rs to Rs cr as the outlay for the COVID-19 vaccine distribution.,0.0,negative
459,| Vaccine politicking: Free inoculation for Bihar is cynical populism ://,0.1779,neutral
460,Once there is a who will get it first?Indiana lays out its plan.,0.0,negative
461,ETHealthworld | Oxford Covid-19 vaccine trials produce a robust immune response in the elderly: FT,0.5574,neutral
462,"A should be universal.Lets be clear: protecting wealthy countries alone will not allow life to return to normal. As long as the virus continues to spread anywhere in the world, it is a threat to us all.We must act together, as nations united.",0.2105,neutral
463,"Great Reset trending &amp; I'm trying really hard to resist conspiracy theories. It gets harder every day as ""emergency measures"" are extended ad infinitum in spite of low IFR. ... an experimental that cannot logically be safety profiled.",-0.8564,negative
464,State level steering committee monitors compilation &amp; data uploading on digital platforms for COVID-19 vaccine -,0.0,negative
465,Indian government estimates Rs to Rs cr as the outlay for the COVID-19 vaccine distribution.,0.0,negative
466,"Intra-nasal coronavirus vaccine will be much easier to use and deliver, says Kiran Mazumdar Shaw ://",0.4215,neutral
467,Johnson &amp; Johnson claims that the first batches of its COVID-19 vaccine could be available as soon as in January.,0.0,negative
468,"The Financial Times reported that the vaccine, being developed by Oxford and AstraZeneca, triggers protective antibodies and T-cells in older age groups. It cited two people familiar with the finding ://",0.0,negative
469,So when did become finance minister or official spokesperson of state?,0.0,negative
470,: 's SUM hospital soon to begin Phase human trial of,0.0,negative
471,. Alex Azar is rumored to be pushing for the ouster of Commissioner Stephen Hahn in retaliation for the health agencys issuing its own independent guidance for approving a . has denied the allegations.,-0.4404,negative
472,"Rationing, two-dose jabs and an advisory body - how a Covid-19 vaccine would be rolled out. This is very hopeful even just to know it is on its way - we know its not the silver bullet but it will make a huge difference",0.6424,neutral
473,Oxford's may get 'emergency approval' before Christmas: Report,0.128,neutral
474,Third phase human trial of to commence in soon,0.0,negative
475,"Oxford's Covid-19 Vaccine, in collaboration with is likely to be developed and administered to medics and high-risk patients before the end of .",0.0,negative
476,"Union Minister on October said that all Indians will be given free , amidst the demand by Opposition parties in the country for it and not only in poll-bound as announced by the .",0.6705,neutral
477,trial,0.0,negative
478,"Oxford Covid-19 vaccine show it produces a robust immune response in elderly people, the group at highest risk.",0.3612,neutral
479,Medicago signs agreements with the Government of Canada to supply up to million doses of its recombinant plant-derived COVID-19 vaccine,0.2732,neutral
480,"trials produce robust immune response in elderly, reports Financial Times",0.5574,neutral
481,"AstraZeneca resumes Phase-3 trial in US, J&amp;J prepares for the same.",0.0,negative
482,"got the approval last week from the Indian drug controller to start stage-3 trials of (its candidate) next month. To know more, click",0.4767,neutral
483,"Institute for Biological Research will start human clinical trials of its candidate Brilife from Nov after receiving all necessary approvals from the Health Ministry&amp;the Helsinki Committee, the Israeli Defence Ministry said.",0.1027,neutral
484,Hoping and praying everyday that the Covid-19 vaccine comes out and puts the end to this pandemic and pathetic life.,0.1531,neutral
485,Coronavirus vaccine: Oxford COVID-19 shot produces strong immune response in elderly people,0.6705,neutral
486,"updates in India: to begin phase III trials in Mumbai soon, mulls expanding current manufacturing capacity",0.0,negative
487,COVAXIN third phase of the human trial to commence soon in Bhubaneswar. ://,0.0,negative
488,"All Indians to get free coronavirus vaccine, says Union Minister Pratap Sarangi",0.5106,neutral
489,"MOPH announced on th October, that it has signed an agreement with a second pharmaceutical company to procure a COVID-19 vaccine as soon as it is approved and released for global use.",0.7184,positive
490,DNA India - Israel to begin human trials of COVID-19 vaccine next month - [],0.0,negative
491,"SAVE THE DATE: Join us in partnership w/ , &amp; during webinar.Theme: Preparing African Countries for the . Moderators: &amp; Register now at",0.7297,positive
492,All citizens in India to get free : Union Minister,0.5106,neutral
493,ETHealthworld | Vaccine verdict due by early December: Fauci,0.1531,neutral
494,to start human trials,0.0,negative
495,to begin human trials next week,0.0,negative
496,Israel to start human trials of on November,0.0,negative
497,"Any idea on how Moderna will address the confounding factors of geographical location, COVID-19 infectivity rates, mask usage and +/-self quarantining in their study?",0.0,negative
498,"""You promise free Covid-19 vaccine in Bihar, then are people of other states from Bangladesh or Kazakhstan,"" said.",0.6808,neutral
499,remind do not politicize quarrel on not make profits too like do it for love of mankind,0.6479,neutral
500,Israel to begin human trials of vaccine next month,0.0,negative
501,: Phase of human trial of to begin at Odisha's SUM hospital soon,0.0,negative
502,Making a safe &amp; effective available to all Australians is a top priority for usWere monitoring the progress of trials around the world. Any potential vaccine must pass Australias tough regulations before being approved.More info:,0.8442,positive
503,to redeem your lowsy performance time to invite makers to develop a vaccines cold storage plant in the Philippines invite private sector participation like right,0.5719,neutral
504,On our way. by Modena just completed enrollment with K participants. Now we wait and see.,0.0,negative
505,So the elderly become the test bunnies. Aye aye aye,0.0,negative
506,Cyprus authorities report another COVID-19 cases on Sunday,0.0,negative
507,"This year has been the worst ever in so many ways. But the fact we will, almost certainly, have a imminently shows what we can achieve if the world pulls together with a common threat and purpose. After this, can governments PLEASE actually tackle",-0.5204,negative
508,. Alex Azar is rumored to be pushing for the ouster of Commissioner Stephen Hahn in retaliation for the health agencys issuing its own independent guidance for approving a . has denied the allegations.,-0.4404,negative
509,DNA India - India to get COVID-19 vaccine by mid-2021 says Biocon's Kiran Mazumdar-Shaw - [],0.0,negative
510,"The , the ministry said, has already tested well on a number of animal models and the IIBR has produced more than doses for the first and second phases of the clinical trials.",0.34,neutral
